Year,County Name,Type of Control,Total Revenue,Total Cost,Total Profit,Operating Margin
2009,Sutter,Investor,3196050.0,3239246.0,-43196.0,-1.35
2009,San Mateo,Non-Profit,1526089998.0,1527993731.0,-1903733.0,-1.72
2009,San Diego,Non-Profit,1218617206.0,1215179843.0,3437363.0,-0.23
2009,San Diego,Non-Profit,221176505.0,222486354.0,-1309849.0,-3.86
2009,San Diego,Non-Profit,2123572060.0,2107716906.0,15855154.0,1.76
2009,San Diego,Non-Profit,552592250.0,511787883.0,40804367.0,23.33
2009,San Diego,Non-Profit,2203629263.0,2191692307.0,11936956.0,0.79
2009,San Diego,Non-Profit,148634640.0,149482563.0,-847923.0,-3.1
2009,San Diego,Non-Profit,6183941.0,5760576.0,423365.0,13.93
2009,Shasta,Investor,782549745.0,775960785.0,6588960.0,7.74
2009,Los Angeles,Investor,285455379.0,279584630.0,5870749.0,7.7
2009,Sacramento,Non-Profit,60748842.0,64138689.0,-3389847.0,-5.58
2009,Fresno,District,54275231.0,55944841.0,-1669610.0,-14.29
2009,Nevada,Non-Profit,325270765.0,336598132.0,-11327367.0,2.62
2009,Tulare,District,511229490.0,500637521.0,10591969.0,5.89
2009,Sacramento,Investor,41855964.0,41915653.0,-59689.0,0.09
2009,San Luis Obispo,Investor,651898447.0,638353357.0,13545090.0,11.1
2009,Los Angeles,Investor,149281642.0,161405867.0,-12124225.0,-38.38
2009,Ventura,Non-Profit,430025927.0,435383968.0,-5358041.0,-5.75
2009,Sonoma,State,182313889.0,182313889.0,0.0,-7.34
2009,Sonoma,District,149845926.0,148984673.0,861253.0,-4.62
2009,Tuolumne,Non-Profit,585820445.0,578537370.0,7283075.0,4.6
2009,Orange,Non-Profit,123047344.0,137851654.0,-14804310.0,-45.5
2009,Inyo,District,11163885.0,10912147.0,251738.0,-16.88
2009,Riverside,Investor,686613741.0,668098237.0,18515504.0,8.64
2009,Fresno,Non-Profit,1445864049.0,1498249013.0,-52384964.0,0.28
2009,San Bernardino,Non-Profit,1180920967.0,1177103975.0,3816992.0,1.65
2009,Tehama,Non-Profit,266519604.0,257635320.0,8884284.0,13.67
2009,Los Angeles,Non-Profit,1146850903.0,1157203107.0,-10352204.0,0.87
2009,San Francisco,Non-Profit,686077213.0,696751534.0,-10674321.0,-0.81
